q1, q2, concentration
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.570796326794896558e+00 0.000000000000000000e+00 1.000000000000000000e+00
